Location,QuadKey,Url,Size,UploadDate
Abyei,122320113,https://minedbuildings.z5.web.core.windows.net/global-buildings/2026-02-03/global-buildings.geojsonl/RegionName=Abyei/quadkey=122320113/part-00108-4feead82-d499-422b-94cb-c036c212127a.c000.csv.gz,74.7KB,2026-02-23
Abyei,122320131,https://minedbuildings.z5.web.core.windows.net/global-buildings/2026-02-03/global-buildings.geojsonl/RegionName=Abyei/quadkey=122320131/part-00058-4feead82-d499-422b-94cb-c036c212127a.c000.csv.gz,8.2KB,2026-02-23
Abyei,122321002,https://minedbuildings.z5.web.core.windows.net/global-buildings/2026-02-03/global-buildings.geojsonl/RegionName=Abyei/quadkey=122321002/part-00154-4feead82-d499-422b-94cb-c036c212127a.c000.csv.gz,391.9KB,2026-02-23
Abyei,122321003,https://minedbuildings.z5.web.core.windows.net/global-buildings/2026-02-03/global-buildings.geojsonl/RegionName=Abyei/quadkey=122321003/part-00198-4feead82-d499-422b-94cb-c036c212127a.c000.csv.gz,72.9KB,2026-02-23
Abyei,122321020,https://minedbuildings.z5.web.core.windows.net/global-buildings/2026-02-03/global-buildings.geojsonl/RegionName=Abyei/quadkey=122321020/part-00049-4feead82-d499-422b-94cb-c036c212127a.c000.csv.gz,1.2MB,2026-02-23
Abyei,122321021,https://minedbuildings.z5.web.core.windows.net/global-buildings/2026-02-03/global-buildings.geojsonl/RegionName=Abyei/quadkey=122321021/part-00173-4feead82-d499-422b-94cb-c036c212127a.c000.csv.gz,30.4KB,2026-02-23
Afghanistan,123011320,https://minedbuildings.z5.web.core.windows.net/global-buildings/2026-02-03/global-buildings.geojsonl/RegionName=Afghanistan/quadkey=123011320/part-00103-4feead82-d499-422b-94cb-c036c212127a.c000.csv.gz,70.1KB,2026-02-23
Afghanistan,123011321,https://minedbuildings.z5.web.core.windows.net/global-buildings/2026-02-03/global-buildings.geojsonl/RegionName=Afghanistan/quadkey=123011321/part-00142-4feead82-d499-422b-94cb-c036c212127a.c000.csv.gz,1.3MB,2026-02-23
Afghanistan,123011322,https://minedbuildings.z5.web.core.windows.net/global-buildings/2026-02-03/global-buildings.geojsonl/RegionName=Afghanistan/quadkey=123011322/part-00065-4feead82-d499-422b-94cb-c036c212127a.c000.csv.gz,4.1MB,2026-02-23
Afghanistan,123011323,https://minedbuildings.z5.web.core.windows.net/global-buildings/2026-02-03/global-buildings.geojsonl/RegionName=Afghanistan/quadkey=123011323/part-00003-4feead82-d499-422b-94cb-c036c212127a.c000.csv.gz,6.8MB,2026-02-23
